"Id","SalePrice"
1461,117080.740859195
1462,146154.193070549
1463,172010.35518097
1464,198543.515940666
1465,179154.357055081
1466,177107.164270435
1467,194244.324343025
1468,173353.624591513
1469,191010.604189374
1470,116009.827391488
1471,203277.317176469
1472,116666.220466983
1473,111006.23064687
1474,168018.734750293
1475,125642.156981723
1476,325881.355023947
1477,238530.034808268
1478,278013.916423159
1479,263206.312764895
1480,457961.068294303
1481,300661.238463247
1482,210285.552734798
1483,170209.219113776
1484,172404.469636445
1485,200766.528299177
1486,200727.670093019
1487,282881.18365964
1488,245972.108168844
1489,174923.025451095
1490,201008.904540348
1491,194964.167725185
1492,97838.2517585005
1493,213187.877942034
1494,287994.764967795
1495,281816.191079318
1496,217037.81621774
1497,169187.760345311
1498,160788.747601349
1499,169652.315981327
1500,158812.424596087
1501,166497.264520486
1502,157534.712602715
1503,259478.188270688
1504,241216.806793167
1505,220792.994353838
1506,193580.459215587
1507,239977.969430028
1508,196419.877660652
1509,159696.983066172
1510,141227.133191398
1511,136500.096124669
1512,160422.492043885
1513,150105.835902731
1514,158065.020901445
1515,198231.764226384
1516,149798.47900815
1517,167490.552496074
1518,134219.830349622
1519,217247.658877885
1520,120498.066093387
1521,116373.08055533
1522,175180.924845261
1523,97033.5801608124
1524,111895.477205227
1525,110243.346038262
1526,112093.618036041
1527,109897.317073082
1528,149667.053694011
1529,134637.329742338
1530,193019.034531884
1531,118571.908075307
1532,105175.842162492
1533,148778.967555003
1534,126986.490330295
1535,144909.141752022
1536,107648.320339893
1537,80340.7182458654
1538,170989.006281832
1539,202208.844659006
1540,100072.649501111
1541,145136.115485449
1542,134512.039524396
1543,176941.550140212
1544,95174.6507083793
1545,117722.402052117
1546,146222.222093318
1547,130810.49074687
1548,131068.252197502
1549,121126.614086075
1550,130873.491841013
1551,119861.486103635
1552,128647.165014509
1553,134171.74620191
1554,124632.19450432
1555,158290.08833894
1556,91605.6419824377
1557,98466.492861757
1558,101644.72936062
1559,78738.7690570845
1560,129947.989713108
1561,118207.195795543
1562,132187.387693221
1563,113152.937217434
1564,162766.27043834
1565,150790.904833101
1566,235993.058237164
1567,87263.5362782103
1568,214457.455121134
1569,120825.840120196
1570,148165.807263854
1571,120090.70824441
1572,139935.157033885
1573,217974.807081517
1574,122244.284704216
1575,200478.37560186
1576,262606.141534558
1577,181471.887221485
1578,143207.620423156
1579,138612.918902845
1580,201611.406801135
1581,155565.341083285
1582,129590.798590549
1583,320698.251932028
1584,227988.662349864
1585,144381.909622235
1586,87250.4026782215
1587,106851.590651141
1588,136079.740822696
1589,100683.840379185
1590,144468.588415367
1591,87965.809469965
1592,126638.508786546
1593,126743.816922297
1594,117803.247649464
1595,98060.2174104187
1596,201048.061505646
1597,161098.71921087
1598,199254.499332356
1599,185999.912312039
1600,185960.005259922
1601,69832.0141678535
1602,109307.279188747
1603,90778.6879668669
1604,239862.075208754
1605,263505.424616727
1606,185644.59591821
1607,188636.400821478
1608,226661.081968414
1609,179038.324912263
1610,154335.788061767
1611,147538.632515058
1612,165695.23073464
1613,177481.014448144
1614,131748.110718785
1615,100603.736309737
1616,87727.8161305159
1617,105351.161301013
1618,124187.172501586
1619,146393.814840808
1620,174460.226562007
1621,136988.646540145
1622,134555.730079073
1623,271698.899847864
1624,208476.008908022
1625,115292.071484811
1626,184579.320494189
1627,190138.988041599
1628,272274.049594305
1629,188900.225890472
1630,310323.951914234
1631,207366.17587673
1632,222069.176525334
1633,186238.558110122
1634,194237.716338588
1635,183341.736226332
1636,165784.164495356
1637,178731.992101267
1638,211121.635484676
1639,193542.977601663
1640,254042.740067234
1641,183875.199013278
1642,220986.006637311
1643,221820.132022101
1644,229259.933518671
1645,202479.388730039
1646,172233.410788351
1647,169264.546055145
1648,130202.420201713
1649,138077.140994275
1650,124292.659502714
1651,128199.633243434
1652,121527.96067081
1653,126268.848981289
1654,164960.585430005
1655,158253.060947531
1656,159031.292693481
1657,168367.171053746
1658,161484.437885511
1659,136365.983870356
1660,152623.283195737
1661,449954.681243128
1662,338435.819210446
1663,332832.166180796
1664,497905.918970467
1665,290323.400432961
1666,308968.489467314
1667,338533.011084955
1668,318747.351294399
1669,278626.365511929
1670,315183.418423222
1671,248187.951584898
1672,406930.758791058
1673,297843.403440131
1674,251789.645594966
1675,185946.691173561
1676,189093.548277174
1677,213931.435987373
1678,428330.127628726
1679,334227.90267092
1680,283692.604973857
1681,235379.638515214
1682,288274.099228146
1683,195443.617522945
1684,197700.467489835
1685,178804.650245157
1686,181758.014579403
1687,183978.354127603
1688,200578.189201184
1689,203195.555054379
1690,210055.888239767
1691,200885.459731154
1692,264237.644343376
1693,176459.918054013
1694,188955.125859772
1695,182186.388422797
1696,271000.19724563
1697,190195.761939806
1698,352905.55520624
1699,308085.253808027
1700,234313.054172471
1701,259635.18505195
1702,251637.144598242
1703,266634.891480845
1704,278242.587150731
1705,228414.305048404
1706,401166.27669049
1707,190439.54500833
1708,198382.709395527
1709,278568.978688994
1710,216317.841993238
1711,270421.163540891
1712,247048.941169877
1713,263009.148949423
1714,212805.099303954
1715,195765.76533656
1716,185107.807721964
1717,185970.382304371
1718,131622.792656811
1719,196712.554674953
1720,234271.833652206
1721,178792.043885497
1722,125035.638585666
1723,163180.200388344
1724,204414.258634498
1725,226155.978197203
1726,172753.498939887
1727,155438.196236087
1728,188483.471760559
1729,166801.657536245
1730,170246.672738343
1731,123503.372864914
1732,128725.3568435
1733,109020.883375886
1734,118484.774682665
1735,137161.482800893
1736,114596.153488664
1737,336379.109813332
1738,247354.758073571
1739,268934.312270187
1740,201373.664532942
1741,182110.357539267
1742,163677.967775959
1743,185242.469846554
1744,286768.734993964
1745,191484.914506761
1746,203667.846580127
1747,227171.048391894
1748,214515.834301133
1749,156488.15201598
1750,134985.978779098
1751,250101.263169529
1752,112720.87764537
1753,146511.292965399
1754,204853.880361199
1755,162266.537401677
1756,126082.056041982
1757,112848.806201978
1758,142721.242507845
1759,170057.064206954
1760,167935.003434001
1761,161479.369491435
1762,163723.651420104
1763,171867.458285822
1764,109118.690208205
1765,160082.132823434
1766,178772.035613978
1767,224255.917400882
1768,132451.498362578
1769,176919.513380336
1770,160827.52786987
1771,116256.525767119
1772,123645.937344251
1773,125364.621895573
1774,136814.989030262
1775,133277.961261452
1776,112771.400690271
1777,104936.460799609
1778,134234.081601399
1779,116687.810412303
1780,185556.972022937
1781,116417.893199515
1782,84724.3990735056
1783,151864.302819648
1784,101250.568292961
1785,110494.028240615
1786,132497.679793304
1787,170303.84925565
1788,67658.2366270991
1789,107105.406937743
1790,80718.7256833095
1791,208507.028588827
1792,147476.391994137
1793,144620.020312109
1794,168443.792177855
1795,122405.821635167
1796,121924.08396627
1797,126646.590552594
1798,112373.722621575
1799,109371.997038549
1800,115786.265023935
1801,124565.725082672
1802,150699.234861235
1803,148760.629588981
1804,139644.08298834
1805,140456.02997791
1806,133031.152500151
1807,141765.384437637
1808,131386.417309926
1809,115838.242323361
1810,133522.627751956
1811,91323.3435751118
1812,90893.0962661451
1813,121994.729654743
1814,95673.2000984437
1815,66303.3486502618
1816,102030.128661578
1817,105887.290250248
1818,134925.073040474
1819,132296.919637107
1820,73307.4811161877
1821,113147.004444577
1822,154488.386232663
1823,62523.052124819
1824,128813.972693068
1825,136332.146900239
1826,97047.2754538339
1827,107094.48919838
1828,126308.709873646
1829,146221.885888061
1830,142907.890224503
1831,163932.863613392
1832,91830.4941327842
1833,139125.462581401
1834,125181.140358776
1835,141592.354526899
1836,117580.672818021
1837,88028.6205791545
1838,132673.950610361
1839,108285.723249692
1840,152627.255537853
1841,129238.689734737
1842,100975.881812287
1843,136697.064419281
1844,140239.53486172
1845,139942.485465567
1846,143663.021528065
1847,156956.743005224
1848,58779.6185449305
1849,108693.18571696
1850,112323.135801404
1851,138916.716937425
1852,127597.380019121
1853,129663.432228161
1854,171492.373680564
1855,157645.116144538
1856,229705.917694027
1857,140204.106298243
1858,139780.329941263
1859,127580.939505115
1860,158357.382311115
1861,127142.934066652
1862,359764.733660191
1863,357070.845000921
1864,357096.203350394
1865,313453.873454795
1866,319098.67123129
1867,245672.147264668
